Date,Samsung,Apple,Xiaomi,Huawei,Oppo,Google,Vivo,Motorola,Realme,LG
2019-01,32.16,22.85,7.88,7.87,4.49,0.49,0,2.72,0,2.78
2019-02,31.52,23.28,8.03,8.12,4.46,0.53,0,2.77,0,2.74
2019-03,31.77,22.4,7.52,8.57,4.41,0.52,0,2.72,0.02,2.89
2019-04,32.16,22.76,7.21,8.72,4.35,0.55,0,2.62,0.03,2.87
2019-05,31.55,22.66,7.46,8.97,4.42,0.6,0,2.68,0.03,2.89
2019-06,31.98,22.04,7.39,9.04,4.21,0.63,0,2.69,0.04,2.81
2019-07,31.13,22.01,7.76,9.15,4.46,0.62,0,2.63,0.04,2.56
2019-08,31.47,22.17,8.38,9.02,4.73,0.62,0.07,2.56,0.29,2.59
2019-09,31.18,22.48,8.26,10.02,4.57,0.62,0.1,2.48,0.49,2.47
2019-10,31.49,22.09,7.79,10.02,4.1,2.35,0.1,2.41,0.54,2.4
2019-11,31.36,22.9,8.16,10.18,4.42,0.66,0.08,2.4,0.78,2.4
2019-12,31.37,24.79,7.73,9.95,4.23,0.75,0.08,2.5,0.84,2.54
2020-01,31.29,24.76,8.1,10.61,4.25,0.69,0.08,2.42,0.88,2.4
2020-02,30.91,25.89,7.8,10.98,4.31,0.7,0.11,2.36,0.89,2.34
2020-03,30.8,27.03,7.7,10.7,4.3,0.73,0.11,2.35,0.93,2.28
2020-04,30.41,28.79,7.6,10.28,4.2,0.75,0.1,2.51,0.9,2.28
2020-05,30.18,26.72,8.36,10.39,4.7,0.7,0.11,2.46,1.04,2.19
2020-06,31.06,25.26,8.55,10.69,4.65,0.68,0.1,2.57,1.04,2.11
2020-07,30.95,24.82,8.94,10.75,4.69,0.65,0.1,2.45,1.13,2.03
2020-08,31.04,25.15,8.9,10.73,4.69,0.63,0.1,2.39,1.18,1.96
2020-09,30.57,24.98,9.49,10.58,4.94,0.63,0.1,2.27,1.45,1.88
2020-10,30.25,26.53,9.67,10.44,4.83,0.63,0.1,2.21,1.55,1.79
2020-11,30.36,28.19,9.6,10.43,4.8,0.7,0.13,2.2,1.65,1.81
2020-12,29.14,26.91,10.02,9.83,5.02,0.66,3.7,2.09,2.07,1.71
2021-01,28.97,27.47,10.04,9.72,5.03,0.66,3.74,2.13,2.11,1.69
2021-02,28.52,27.33,10.27,9.62,5.07,0.66,3.84,2.17,2.23,1.67
2021-03,28.35,27.41,10.31,9.27,5.29,0.66,3.95,2.16,2.32,1.63
2021-04,28.15,27,10.43,9.19,5.31,0.68,3.99,2.19,2.34,1.6
2021-05,27.84,26.46,10.63,8.84,5.39,0.67,4.12,2.18,2.41,1.58
2021-06,27.48,26.35,10.8,8.66,5.67,0.66,4.32,2.23,2.62,1.55
2021-07,27.33,26.92,10.94,8.19,5.54,0.67,4.34,2.27,2.66,1.55
2021-08,27.92,26.42,11.38,7.91,5.61,0.68,4.58,2.25,2.83,1.52
2021-09,27.55,26.75,11.51,7.88,5.65,0.67,4.57,2.26,2.85,1.45
2021-10,27.06,28.21,11.4,7.64,5.37,0.68,4.29,2.28,3.05,1.41
2021-11,27.18,28.54,11.37,7.52,5.3,0.65,4.2,2.33,2.73,1.37
2021-12,26.93,29.24,11.52,7.19,5.31,0.73,4.13,2.25,2.75,1.27
2022-01,27.18,29.49,11.54,6.64,5.29,0.78,4.26,2.42,2.92,1.21
2022-02,27.68,28.29,11.61,6.41,5.36,0.76,4.19,2.91,3,1.38
2022-03,28.22,27.57,12.24,6.53,5.25,0.75,4.12,2.66,2.99,1.26
2022-04,27.94,27.68,12.18,6.18,5.37,0.81,4.25,2.62,3.09,1.18
2022-05,28.25,27.83,12.64,6.25,5.37,0.77,4.08,2.42,3.04,1.09
2022-06,28.24,27.22,13.05,6.09,5.76,0.73,4.3,2.35,3.26,1.03
2022-07,28.17,27.5,12.86,6.34,5.39,0.75,4.28,2.41,3.1,1.01
2022-08,28.76,27.83,12.8,6.03,5.14,0.74,3.95,2.48,2.94,1
2022-09,28.41,27.8,13.02,5.64,5.32,0.73,4.29,2.36,3.16,0.93
2022-10,28.21,28.41,12.73,5.27,5.53,0.77,4.31,2.33,3.16,0.85
2022-11,28.33,27.48,12.97,4.98,6.28,0.72,4.59,2.3,3.37,0.78
2022-12,27.38,26.98,12.35,5.25,6.4,0.75,5.07,2.25,3.68,0.71
2023-01,27.09,27.6,12.52,4.62,6.41,0.74,5.26,2.3,3.96,0.68
2023-02,26.75,27.1,12.29,4.84,6.86,0.76,5.3,2.28,4.03,0.64
2023-03,27.1,28.42,12.16,4.32,6.39,0.74,5.17,2.5,3.79,0.7
2023-04,26.05,30.61,11.68,4.11,6.35,0.73,5.09,2.21,3.68,0.62
2023-05,25.27,31.44,11.13,4.01,6.52,0.76,4.88,2.05,3.51,0.54
2023-06,24.59,28.44,11.05,4.07,6.95,0.89,5.39,2.01,3.78,0.49
2023-07,24.22,28.39,11.21,4,6.06,0.95,5.53,2.11,3.87,0.48
2023-08,24.16,28.53,11.09,4,5.85,0.95,5.37,2.12,3.77,0.47
2023-09,24.23,29.58,10.84,3.81,5.53,0.95,5.02,2.1,3.52,0.45
2023-10,24.69,29.65,10.99,3.6,5.52,1.14,4.93,2.17,3.48,0.44
2023-11,24.61,29.12,11.52,3.52,5.59,0.98,4.97,2.16,3.58,0.42
2023-12,24.15,28.8,11.99,3.49,5.63,0.95,5.13,2.15,3.74,0.38
